observation_date,DEXTHUS
1992-10-20,25.2900
1992-10-21,25.3450
1992-10-22,25.3200
1992-10-23,25.2800
1992-10-26,25.3100
1992-10-27,25.3300
1992-10-28,25.3300
1992-10-29,25.3300
1992-10-30,25.3900
1992-11-02,25.4100
1992-11-03,25.4300
1992-11-04,25.4050
1992-11-05,25.3900
1992-11-06,25.4250
1992-11-09,25.4400
1992-11-10,25.4700
1992-11-11,
1992-11-12,25.4600
1992-11-13,25.4600
1992-11-16,25.4500
1992-11-17,25.5100
1992-11-18,25.5000
1992-11-19,25.4800
1992-11-20,25.4600
1992-11-23,25.5000
1992-11-24,25.4800
1992-11-25,25.4700
1992-11-26,
1992-11-27,25.5100
1992-11-30,25.5200
1992-12-01,25.5250
1992-12-02,25.5300
1992-12-03,25.5000
1992-12-04,25.5100
1992-12-07,25.4900
1992-12-08,25.4700
1992-12-09,25.4400
1992-12-10,25.4600
1992-12-11,25.4700
1992-12-14,25.4700
1992-12-15,25.4800
1992-12-16,25.4800
1992-12-17,25.4500
1992-12-18,25.4450
1992-12-21,25.4600
1992-12-22,25.4400
1992-12-23,25.4800
1992-12-24,25.5000
1992-12-25,
1992-12-28,25.5000
1992-12-29,25.5650
1992-12-30,25.5300
1992-12-31,25.5300
1993-01-01,
1993-01-04,25.5400
1993-01-05,25.5700
1993-01-06,25.5350
1993-01-07,25.5500
1993-01-08,25.5600
1993-01-11,25.5600
1993-01-12,25.5400
1993-01-13,25.5600
1993-01-14,25.5400
1993-01-15,25.5600
1993-01-18,
1993-01-19,25.5300
1993-01-20,25.5300
1993-01-21,25.5000
1993-01-22,25.5200
1993-01-25,25.4900
1993-01-26,25.4400
1993-01-27,25.4600
1993-01-28,25.4700
1993-01-29,25.4900
1993-02-01,25.5500
1993-02-02,25.5700
1993-02-03,25.5500
1993-02-04,25.5500
1993-02-05,25.6100
1993-02-08,25.6000
1993-02-09,25.5800
1993-02-10,25.5400
1993-02-11,25.5600
1993-02-12,25.5100
1993-02-15,
1993-02-16,25.5300
1993-02-17,25.4800
1993-02-18,25.4800
1993-02-19,25.4550
1993-02-22,25.4150
1993-02-23,25.3800
1993-02-24,25.4000
1993-02-25,25.4400
1993-02-26,25.4450
1993-03-01,25.4700
1993-03-02,25.4600
1993-03-03,25.4250
1993-03-04,25.4100
1993-03-05,25.4000
1993-03-08,25.4700
1993-03-09,25.4100
1993-03-10,25.4600
1993-03-11,25.4800
1993-03-12,25.4550
1993-03-15,25.4800
1993-03-16,25.4700
1993-03-17,25.4350
1993-03-18,25.4350
1993-03-19,25.3900
1993-03-22,25.3900
1993-03-23,25.3900
1993-03-24,25.3900
1993-03-25,25.3900
1993-03-26,25.4200
1993-03-29,25.3800
1993-03-30,25.3900
1993-03-31,25.3800
1993-04-01,25.3400
1993-04-02,25.3200
1993-04-05,
1993-04-06,25.3000
1993-04-07,25.3000
1993-04-08,25.3000
1993-04-09,
1993-04-12,
1993-04-13,
1993-04-14,25.2400
1993-04-15,25.2800
1993-04-16,25.2850
1993-04-19,25.2800
1993-04-20,25.2800
1993-04-21,25.2000
1993-04-22,25.2000
1993-04-23,25.1900
1993-04-26,25.1700
1993-04-27,25.1700
1993-04-28,25.2200
1993-04-29,25.2200
1993-04-30,25.2300
1993-05-03,
1993-05-04,25.2100
1993-05-05,
1993-05-06,25.2000
1993-05-07,25.1900
1993-05-10,25.2000
1993-05-11,25.2600
1993-05-12,25.2600
1993-05-13,25.2700
1993-05-14,25.2900
1993-05-17,25.2400
1993-05-18,25.2750
1993-05-19,25.2950
1993-05-20,25.2700
1993-05-21,25.2400
1993-05-24,25.2550
1993-05-25,25.2500
1993-05-26,25.2050
1993-05-27,25.1950
1993-05-28,25.1100
1993-05-31,
1993-06-01,25.1300
1993-06-02,25.1400
1993-06-03,25.1500
1993-06-04,25.1450
1993-06-07,25.1800
1993-06-08,25.1650
1993-06-09,25.1550
1993-06-10,25.1750
1993-06-11,25.1650
1993-06-14,25.1400
1993-06-15,25.1300
1993-06-16,25.1700
1993-06-17,25.2100
1993-06-18,25.2150
1993-06-21,25.3200
1993-06-22,25.3500
1993-06-23,25.3600
1993-06-24,25.3025
1993-06-25,25.2900
1993-06-28,25.2500
1993-06-29,25.2800
1993-06-30,25.2800
1993-07-01,25.3300
1993-07-02,25.3150
1993-07-05,
1993-07-06,25.3550
1993-07-07,25.3550
1993-07-08,25.3200
1993-07-09,25.3550
1993-07-12,25.4000
1993-07-13,25.4000
1993-07-14,25.3450
1993-07-15,25.3300
1993-07-16,25.3500
1993-07-19,25.3400
1993-07-20,25.3400
1993-07-21,25.3300
1993-07-22,25.3200
1993-07-23,25.2700
1993-07-26,25.3100
1993-07-27,25.3000
1993-07-28,25.3000
1993-07-29,25.2800
1993-07-30,25.3100
1993-08-02,25.2650
1993-08-03,25.2000
1993-08-04,25.2100
1993-08-05,25.2300
1993-08-06,25.2100
1993-08-09,25.2100
1993-08-10,25.2100
1993-08-11,25.2300
1993-08-12,
1993-08-13,25.2100
1993-08-16,25.1800
1993-08-17,25.1500
1993-08-18,25.1500
1993-08-19,25.1300
1993-08-20,25.2200
1993-08-23,25.1600
1993-08-24,25.1600
1993-08-25,25.1700
1993-08-26,25.2100
1993-08-27,25.1850
1993-08-30,25.1500
1993-08-31,25.1700
1993-09-01,25.2000
1993-09-02,25.2000
1993-09-03,25.2000
1993-09-06,
1993-09-07,25.1500
1993-09-08,25.1500
1993-09-09,25.1825
1993-09-10,25.1600
1993-09-13,25.1700
1993-09-14,25.1800
1993-09-15,25.1900
1993-09-16,25.1500
1993-09-17,25.1600
1993-09-20,25.1700
1993-09-21,25.1900
1993-09-22,25.2500
1993-09-23,25.2500
1993-09-24,25.2400
1993-09-27,25.2450
1993-09-28,25.2400
1993-09-29,25.2100
1993-09-30,25.2200
1993-10-01,25.2600
1993-10-04,25.2800
1993-10-05,25.2400
1993-10-06,25.2500
1993-10-07,25.2100
1993-10-08,25.1700
1993-10-11,
1993-10-12,25.1900
1993-10-13,25.1700
1993-10-14,25.1800
1993-10-15,25.2300
1993-10-18,25.2500
1993-10-19,25.2850
1993-10-20,25.2800
1993-10-21,25.3000
1993-10-22,25.3500
1993-10-25,25.3400
1993-10-26,25.3700
1993-10-27,25.3400
1993-10-28,25.3500
1993-10-29,25.3400
1993-11-01,25.3700
1993-11-02,25.3700
1993-11-03,25.3550
1993-11-04,25.3400
1993-11-05,25.3500
1993-11-08,25.3400
1993-11-09,25.3700
1993-11-10,25.3500
1993-11-11,
1993-11-12,25.3400
1993-11-15,25.3200
1993-11-16,25.3500
1993-11-17,25.3900
1993-11-18,25.3750
1993-11-19,25.4200
1993-11-22,25.4300
1993-11-23,25.4500
1993-11-24,25.4000
1993-11-25,
1993-11-26,25.4300
1993-11-29,25.4500
1993-11-30,25.4450
1993-12-01,25.4500
1993-12-02,25.4500
1993-12-03,25.4550
